-----------------------------------
Unigrams and their probabilities:
education has probability 9.438692741055364e-05
everyone has probability 9.438692741055364e-05
difficult has probability 9.438692741055364e-05
live has probability 9.438692741055364e-05
sign has probability 9.438692741055364e-05
consist has probability 9.438692741055364e-05
higher has probability 9.438692741055364e-05
currently has probability 9.438692741055364e-05
go? has probability 9.438692741055364e-05
security has probability 9.438692741055364e-05
media has probability 9.438692741055364e-05
help? has probability 9.438692741055364e-05
anything has probability 9.438692741055364e-05
sea has probability 9.438692741055364e-05
study? has probability 9.438692741055364e-05
effect has probability 9.438692741055364e-05
fight has probability 9.438692741055364e-05
month has probability 9.438692741055364e-05
those? has probability 9.438692741055364e-05
research? has probability 9.438692741055364e-05
spending has probability 9.438692741055364e-05
white has probability 9.438692741055364e-05
determined? has probability 9.438692741055364e-05
earthquake? has probability 9.438692741055364e-05
past? has probability 9.438692741055364e-05
stocks has probability 9.438692741055364e-05
costs has probability 9.438692741055364e-05
natural has probability 9.438692741055364e-05
losses? has probability 9.438692741055364e-05
situation? has probability 9.438692741055364e-05
cost has probability 9.438692741055364e-05
loan has probability 9.438692741055364e-05
prevent has probability 9.438692741055364e-05
wasn't has probability 9.438692741055364e-05
bond has probability 9.438692741055364e-05
holding has probability 9.438692741055364e-05
cities? has probability 9.438692741055364e-05
rules has probability 9.438692741055364e-05
banks? has probability 9.438692741055364e-05
funds? has probability 9.438692741055364e-05
company's has probability 9.438692741055364e-05
bill? has probability 9.438692741055364e-05
affected? has probability 9.438692741055364e-05
board? has probability 9.438692741055364e-05
acquire has probability 9.438692741055364e-05
special has probability 9.438692741055364e-05
investment has probability 9.438692741055364e-05
death has probability 9.438692741055364e-05
judge has probability 9.438692741055364e-05
soviet has probability 9.438692741055364e-05
team? has probability 9.438692741055364e-05
forces has probability 9.438692741055364e-05
conducted has probability 9.438692741055364e-05
women has probability 9.438692741055364e-05
violence has probability 9.438692741055364e-05
case has probability 9.438692741055364e-05
result has probability 9.438692741055364e-05
best has probability 9.438692741055364e-05
investigation? has probability 9.438692741055364e-05
illegal has probability 9.438692741055364e-05
fighting? has probability 9.438692741055364e-05
while has probability 8.848774444739404e-05
then has probability 8.848774444739404e-05
population has probability 8.848774444739404e-05
continue has probability 8.848774444739404e-05
service has probability 8.848774444739404e-05
statement has probability 8.848774444739404e-05
policy has probability 8.848774444739404e-05
someone has probability 8.848774444739404e-05
plants has probability 8.848774444739404e-05
programs has probability 8.848774444739404e-05
anyone has probability 8.848774444739404e-05
chosen? has probability 8.848774444739404e-05
source has probability 8.848774444739404e-05
claim has probability 8.848774444739404e-05
start? has probability 8.848774444739404e-05
lot? has probability 8.848774444739404e-05
sell? has probability 8.848774444739404e-05
by? has probability 8.848774444739404e-05
referred has probability 8.848774444739404e-05
differ has probability 8.848774444739404e-05
china? has probability 8.848774444739404e-05
over? has probability 8.848774444739404e-05
thought has probability 8.848774444739404e-05
planning has probability 8.848774444739404e-05
towards has probability 8.848774444739404e-05
energy has probability 8.848774444739404e-05
five has probability 8.848774444739404e-05
included has probability 8.848774444739404e-05
concern has probability 8.848774444739404e-05
